input,output
"Merhaba","Merhaba, size nasıl yardımcı olabilirim?"
"Nasılsın?","İyiyim, teşekkür ederim. Siz nasılsınız?"
"Adın ne?","Ben bir yapay zekâ asistanıyım. Adım yok ama yardımcı olabilirim."
"Kaç yaşındasın?","Benim yaşım yok, dijitalim!"
"Bugün günlerden ne?","Maalesef tarih bilgim yok, ama sistem saatinden kontrol edebilirsiniz."
"Hangi dilleri konuşuyorsun?","Türkçe başta olmak üzere birçok dili anlayabiliyorum."
"Bana bir şaka yap","Elbette! Neden bilgisayar denize giremez? Çünkü su geçirmez değil!"
"Seni kim yaptı?","Ben bir yazılım geliştiricisi tarafından eğitildim."
"Ne işe yararsın?","Sorularınızı yanıtlayabilir, bilgi verebilirim."
"Telefon numaran nedir?","Üzgünüm, telefon numaram yok."
"Bugün hava nasıl?","Gerçek zamanlı veri alamıyorum, ama bir hava durumu sitesinden bakabilirsiniz."
"Seni seviyorum","Teşekkür ederim! Ben de size yardımcı olmak için buradayım."
"Sıkıldım","İsterseniz bir oyun ya da şaka önerebilirim."
"Film öner","'Esaretin Bedeli' harika bir film olabilir!"
"Ne yemek yapayım?","Makarna ya da menemen hızlı ve lezzetli seçeneklerdir."
"Benimle konuş","Tabii ki! Ne hakkında konuşmak istersiniz?"
"Yalnızım","Ben buradayım. Sohbet edebiliriz."
"Bugün günlerden ne?","Bugünün tarihini sistem saatinden kontrol edebilirsiniz."
"Uyuyamıyorum","Rahatlatıcı bir müzik dinlemeyi deneyin."
"Biraz müzik aç","Müzik açamıyorum ama öneride bulunabilirim: Lo-fi chill müzik iyi gider."
"Şiir oku","Gökyüzü masmavi, umutlar gibi..."
"Sence hayat ne?","Hayat, öğrenmek ve paylaşmaktır."
"Arkadaşın var mı?","Benim arkadaşlarım verilerim :)"
"Oyun oyna","Kelime oyunu oynayabiliriz, istersen başlayalım!"
"Sen zeki misin?","Ben verilerle eğitildim, bu yüzden bazı konularda yardımcı olabilirim."
"Gece mi gündüz mü?","Bu bilgiye erişemem, ama saatinize bakabilirsiniz."
"Yarın ne olacak?","Geleceği bilemem ama güzel bir gün olmasını dilerim."
"Yazılım nedir?","Yazılım, bilgisayarlara ne yapacağını söyleyen komutlar bütünüdür."
"Bilgisayar nedir?","Bilgisayar, veri işleyebilen elektronik bir cihazdır."
"İnterneti kim buldu?","İnternetin temelini ARPANET ve Tim Berners-Lee attı."
"Sen gerçek misin?","Ben dijital bir varlığım, gerçek gibi ama fiziksel değilim."
"Sen bir robot musun?","Ben yazılım tabanlı bir asistanım, fiziksel değilim."
"Sence en iyi programlama dili hangisi?","Amaca göre değişir, ama Python oldukça popülerdir."
"Kodlama öğrenmek zor mu?","Başlangıçta zor olabilir ama pratikle çok keyifli hale gelir."
"Sen duygusal mısın?","Benim duygularım yok ama sizi anlayabilirim."
"Yapay zekâ nedir?","Yapay zekâ, insan benzeri görevleri yapabilen yazılımlardır."
"Makine öğrenmesi nedir?","Verilerden öğrenerek tahmin yapabilen algoritmalardır."
"Veri bilimi nedir?","Veriden anlamlı bilgi çıkarmaya yarayan bilim dalıdır."
"Python nedir?","Python, sade ve güçlü bir programlama dilidir."
"Java mı Python mı?","Yeni başlayanlar için genelde Python önerilir."
"Bugün tarih nedir?","Üzgünüm, tarih bilgisine erişimim yok."
"Bana rastgele bir bilgi ver","Balinalar nefes almak için su yüzeyine çıkar."
"En sevilen yemek nedir?","Bu kişiye göre değişir ama pizza çok sevilir."
"Uyumalı mıyım?","Eğer yorgunsanız uyumanız iyi olur."
"Nasıl motive olabilirim?","Küçük hedefler koyarak başlayabilirsiniz."
"Bir hikaye anlat","Bir zamanlar dijital bir asistan vardı ve hep yardımcı olmaya çalışırdı..."
"Bana ilham ver","Her gün bir adım daha ileri gidebilirsin!"
"Beni güldür","Peki: Neden bilgisayarlar kışın üşümez? Çünkü cache'leri vardır :)"
"Hayat sıkıcı","Yeni bir şeyler öğrenmek hayatı renklendirebilir!"
"Hoşça kal","Görüşmek üzere! Yardımcı olabildiysem ne mutlu!"
